asset,loss,model,rank
HSI,qlike_ex_near_zero,autoarima,3
KOSPI,qlike_ex_near_zero,autoarima,4
NDX,qlike_ex_near_zero,autoarima,7
NKX,qlike_ex_near_zero,autoarima,7
SPY,qlike_ex_near_zero,autoarima,3
TWSE,qlike_ex_near_zero,autoarima,4
BTC-USD,qlike_ex_near_zero,autoets,6
CAC,qlike_ex_near_zero,autoets,4
DAX,qlike_ex_near_zero,autoets,4
DIA,qlike_ex_near_zero,autoets,2
ETH-USD,qlike_ex_near_zero,autoets,7
HSI,qlike_ex_near_zero,autoets,5
KOSPI,qlike_ex_near_zero,autoets,5
NDX,qlike_ex_near_zero,autoets,4
NKX,qlike_ex_near_zero,autoets,6
SPY,qlike_ex_near_zero,autoets,1
TWSE,qlike_ex_near_zero,autoets,3
BTC-USD,qlike_ex_near_zero,chronos,3
CAC,qlike_ex_near_zero,chronos,5
DAX,qlike_ex_near_zero,chronos,5
DIA,qlike_ex_near_zero,chronos,8
ETH-USD,qlike_ex_near_zero,chronos,3
HSI,qlike_ex_near_zero,chronos,4
KOSPI,qlike_ex_near_zero,chronos,6
NDX,qlike_ex_near_zero,chronos,6
NKX,qlike_ex_near_zero,chronos,3
SPY,qlike_ex_near_zero,chronos,6
TWSE,qlike_ex_near_zero,chronos,5
BTC-USD,qlike_ex_near_zero,ewma,10
CAC,qlike_ex_near_zero,ewma,10
DAX,qlike_ex_near_zero,ewma,8
DIA,qlike_ex_near_zero,ewma,10
ETH-USD,qlike_ex_near_zero,ewma,9
HSI,qlike_ex_near_zero,ewma,6
KOSPI,qlike_ex_near_zero,ewma,7
NDX,qlike_ex_near_zero,ewma,10
NKX,qlike_ex_near_zero,ewma,9
SPY,qlike_ex_near_zero,ewma,10
TWSE,qlike_ex_near_zero,ewma,8
BTC-USD,qlike_ex_near_zero,garch11,8
CAC,qlike_ex_near_zero,garch11,8
DAX,qlike_ex_near_zero,garch11,10
DIA,qlike_ex_near_zero,garch11,9
ETH-USD,qlike_ex_near_zero,garch11,8
HSI,qlike_ex_near_zero,garch11,10
KOSPI,qlike_ex_near_zero,garch11,8
NDX,qlike_ex_near_zero,garch11,8
NKX,qlike_ex_near_zero,garch11,8
SPY,qlike_ex_near_zero,garch11,9
TWSE,qlike_ex_near_zero,garch11,9
BTC-USD,qlike_ex_near_zero,garch11_t,11
CAC,qlike_ex_near_zero,garch11_t,9
DAX,qlike_ex_near_zero,garch11_t,9
DIA,qlike_ex_near_zero,garch11_t,7
ETH-USD,qlike_ex_near_zero,garch11_t,11
HSI,qlike_ex_near_zero,garch11_t,9
KOSPI,qlike_ex_near_zero,garch11_t,9
NDX,qlike_ex_near_zero,garch11_t,9
NKX,qlike_ex_near_zero,garch11_t,10
SPY,qlike_ex_near_zero,garch11_t,7
TWSE,qlike_ex_near_zero,garch11_t,10
BTC-USD,qlike_ex_near_zero,gjr,9
CAC,qlike_ex_near_zero,gjr,1
DAX,qlike_ex_near_zero,gjr,1
DIA,qlike_ex_near_zero,gjr,1
ETH-USD,qlike_ex_near_zero,gjr,10
HSI,qlike_ex_near_zero,gjr,8
KOSPI,qlike_ex_near_zero,gjr,1
NDX,qlike_ex_near_zero,gjr,1
NKX,qlike_ex_near_zero,gjr,5
SPY,qlike_ex_near_zero,gjr,2
TWSE,qlike_ex_near_zero,gjr,6
BTC-USD,qlike_ex_near_zero,har,4
CAC,qlike_ex_near_zero,har,2
DAX,qlike_ex_near_zero,har,3
DIA,qlike_ex_near_zero,har,4
ETH-USD,qlike_ex_near_zero,har,4
HSI,qlike_ex_near_zero,har,2
KOSPI,qlike_ex_near_zero,har,3
NDX,qlike_ex_near_zero,har,3
NKX,qlike_ex_near_zero,har,2
SPY,qlike_ex_near_zero,har,4
TWSE,qlike_ex_near_zero,har,2
BTC-USD,qlike_ex_near_zero,lgbm,7
CAC,qlike_ex_near_zero,lgbm,11
DAX,qlike_ex_near_zero,lgbm,11
DIA,qlike_ex_near_zero,lgbm,11
ETH-USD,qlike_ex_near_zero,lgbm,6
HSI,qlike_ex_near_zero,lgbm,11
KOSPI,qlike_ex_near_zero,lgbm,11
NDX,qlike_ex_near_zero,lgbm,11
NKX,qlike_ex_near_zero,lgbm,11
SPY,qlike_ex_near_zero,lgbm,11
TWSE,qlike_ex_near_zero,lgbm,11
BTC-USD,qlike_ex_near_zero,moirai,1
CAC,qlike_ex_near_zero,moirai,3
DAX,qlike_ex_near_zero,moirai,2
DIA,qlike_ex_near_zero,moirai,5
ETH-USD,qlike_ex_near_zero,moirai,1
HSI,qlike_ex_near_zero,moirai,1
KOSPI,qlike_ex_near_zero,moirai,2
NDX,qlike_ex_near_zero,moirai,2
NKX,qlike_ex_near_zero,moirai,1
SPY,qlike_ex_near_zero,moirai,5
TWSE,qlike_ex_near_zero,moirai,1
BTC-USD,qlike_ex_near_zero,naive,12
CAC,qlike_ex_near_zero,naive,13
DAX,qlike_ex_near_zero,naive,13
DIA,qlike_ex_near_zero,naive,13
ETH-USD,qlike_ex_near_zero,naive,12
HSI,qlike_ex_near_zero,naive,13
KOSPI,qlike_ex_near_zero,naive,13
NDX,qlike_ex_near_zero,naive,13
NKX,qlike_ex_near_zero,naive,12
SPY,qlike_ex_near_zero,naive,13
TWSE,qlike_ex_near_zero,naive,13
BTC-USD,qlike_ex_near_zero,patchtst,13
CAC,qlike_ex_near_zero,patchtst,12
DAX,qlike_ex_near_zero,patchtst,12
DIA,qlike_ex_near_zero,patchtst,12
ETH-USD,qlike_ex_near_zero,patchtst,13
HSI,qlike_ex_near_zero,patchtst,12
KOSPI,qlike_ex_near_zero,patchtst,12
NDX,qlike_ex_near_zero,patchtst,12
NKX,qlike_ex_near_zero,patchtst,13
SPY,qlike_ex_near_zero,patchtst,12
TWSE,qlike_ex_near_zero,patchtst,12
BTC-USD,qlike_ex_near_zero,timesfm,2
CAC,qlike_ex_near_zero,timesfm,6
DAX,qlike_ex_near_zero,timesfm,7
DIA,qlike_ex_near_zero,timesfm,6
ETH-USD,qlike_ex_near_zero,timesfm,2
HSI,qlike_ex_near_zero,timesfm,7
KOSPI,qlike_ex_near_zero,timesfm,10
NDX,qlike_ex_near_zero,timesfm,5
NKX,qlike_ex_near_zero,timesfm,4
SPY,qlike_ex_near_zero,timesfm,8
TWSE,qlike_ex_near_zero,timesfm,7
